Activity,Status,Workstream,Application,Phase/Group,Task Classification,Description and Notes,US/CA IMPACT INDICATOR,Mock ONLY Activity?,JAPAN to Execute,Expected start date,Expected end date,Responsible (PING / INFOR),PING SME,Executor,PING Support,Infor SME,Comments and Notes
UK-1,2-WIP,Management,All,Phase 0 - Environment Baseline / Cutover Readiness,Organizational,Post SIT Issue Resolution - Must be complete before starting M3-116,,,YES,2/2/26,2/13/26,PING,Lewis Rogal,Lewis Rogal,Lewis Rogal,Morgan Boushka,Go-Live Only
M3-132,1-Planned,Technical,M3,Phase 1 - System prep (Master Data Loading),DeActivation,Turn off BOD Processor: Sync.ItemMaster - Schedule outage with North America,YES,,YES,2/16/26,2/22/26,INFOR,Lewis Rogal,Kelly Von Hoene,Josh Edwards,Kelly Von Hoene,US master data needs manual push after reactivation
M3-307,1-Planned,Order to Cash,M3,Phase 4 - Final prep/Black out (Trans Data Migration),Data Conversion,Load configured Customer Orders (HYDRA) - 4783 orders 12217 lines - Stagger load,YES,,,2/25/26,3/1/26,PING,Gavin/Mike/Sandy,Gavin South,Gavin/Mike/Sandy,Dhandapani C.,Stagger: 1000/day then 1400/day then weekend
